date,prize_type,number
2010-03-01,first,215227
2010-03-01,second,045998
2010-03-01,second,369715
2010-03-01,second,805435
2010-03-01,second,842613
2010-03-01,second,960407
2010-03-01,third,089629
2010-03-01,third,173911
2010-03-01,third,250162
2010-03-01,third,339169
2010-03-01,third,546481
2010-03-01,third,583223
2010-03-01,third,807838
2010-03-01,third,810875
2010-03-01,third,855317
2010-03-01,third,931770
2010-03-01,fourth,006187
2010-03-01,fourth,042098
2010-03-01,fourth,045825
2010-03-01,fourth,057685
2010-03-01,fourth,083296
2010-03-01,fourth,088478
2010-03-01,fourth,100716
2010-03-01,fourth,119741
2010-03-01,fourth,140516
2010-03-01,fourth,156825
2010-03-01,fourth,173819
2010-03-01,fourth,176231
2010-03-01,fourth,202090
2010-03-01,fourth,233378
2010-03-01,fourth,242243
2010-03-01,fourth,253383
2010-03-01,fourth,266317
2010-03-01,fourth,274974
2010-03-01,fourth,316040
2010-03-01,fourth,349886
2010-03-01,fourth,352301
2010-03-01,fourth,352446
2010-03-01,fourth,432477
2010-03-01,fourth,444619
2010-03-01,fourth,469824
2010-03-01,fourth,497278
2010-03-01,fourth,504687
2010-03-01,fourth,518817
2010-03-01,fourth,542231
2010-03-01,fourth,550903
2010-03-01,fourth,584295
2010-03-01,fourth,614348
2010-03-01,fourth,614567
2010-03-01,fourth,633351
2010-03-01,fourth,668960
2010-03-01,fourth,681176
2010-03-01,fourth,686016
2010-03-01,fourth,711871
2010-03-01,fourth,740642
2010-03-01,fourth,753386
2010-03-01,fourth,766142
2010-03-01,fourth,792585
2010-03-01,fourth,807899
2010-03-01,fourth,819503
2010-03-01,fourth,879532
2010-03-01,fourth,915154
2010-03-01,fourth,929414
2010-03-01,fourth,931460
2010-03-01,fourth,944021
2010-03-01,fourth,978962
2010-03-01,fifth,004318
2010-03-01,fifth,012416
2010-03-01,fifth,018634
2010-03-01,fifth,030386
2010-03-01,fifth,032094
2010-03-01,fifth,042989
2010-03-01,fifth,043712
2010-03-01,fifth,065082
2010-03-01,fifth,095599
2010-03-01,fifth,095917
2010-03-01,fifth,102850
2010-03-01,fifth,118012
2010-03-01,fifth,147533
2010-03-01,fifth,153677
2010-03-01,fifth,158288
2010-03-01,fifth,177447
2010-03-01,fifth,179086
2010-03-01,fifth,187458
2010-03-01,fifth,190071
2010-03-01,fifth,193920
2010-03-01,fifth,200238
2010-03-01,fifth,205345
2010-03-01,fifth,214559
2010-03-01,fifth,226148
2010-03-01,fifth,231860
2010-03-01,fifth,241027
2010-03-01,fifth,261945
2010-03-01,fifth,275539
2010-03-01,fifth,283491
2010-03-01,fifth,286250
2010-03-01,fifth,314545
2010-03-01,fifth,345731
2010-03-01,fifth,352520
2010-03-01,fifth,363244
2010-03-01,fifth,366750
2010-03-01,fifth,381899
2010-03-01,fifth,387352
2010-03-01,fifth,390085
2010-03-01,fifth,394902
2010-03-01,fifth,395611
2010-03-01,fifth,406499
2010-03-01,fifth,408195
2010-03-01,fifth,415665
2010-03-01,fifth,417455
2010-03-01,fifth,419996
2010-03-01,fifth,425884
2010-03-01,fifth,432595
2010-03-01,fifth,446174
2010-03-01,fifth,447529
2010-03-01,fifth,458581
2010-03-01,fifth,472263
2010-03-01,fifth,474541
2010-03-01,fifth,475564
2010-03-01,fifth,478849
2010-03-01,fifth,518520
2010-03-01,fifth,520262
2010-03-01,fifth,525911
2010-03-01,fifth,528973
2010-03-01,fifth,536030
2010-03-01,fifth,541265
2010-03-01,fifth,550866
2010-03-01,fifth,553299
2010-03-01,fifth,555610
2010-03-01,fifth,581269
2010-03-01,fifth,603269
2010-03-01,fifth,606136
2010-03-01,fifth,614416
2010-03-01,fifth,617607
2010-03-01,fifth,630145
2010-03-01,fifth,635234
2010-03-01,fifth,636176
2010-03-01,fifth,649046
2010-03-01,fifth,665419
2010-03-01,fifth,695880
2010-03-01,fifth,705298
2010-03-01,fifth,736609
2010-03-01,fifth,743094
2010-03-01,fifth,758774
